Tag,client_id,msg_size,repetitions,worker_count,Throughput_in_MiB/second,bytes_received,delta_us,lib,protocoll
G,1,1024,8192,zmq-2,15.473,837837,51640,zmq,tcp
G,1,1024,8192,zmq-2,15.600,837837,51220,zmq,tcp
G,1,1024,8192,zmq-2,15.833,837837,50465,zmq,tcp
G,1,1024,8192,zmq-2,16.105,837837,49614,zmq,tcp
G,2,1024,8192,zmq-2,15.456,837837,51698,zmq,tcp
G,2,1024,8192,zmq-2,15.010,837837,53234,zmq,tcp
G,2,1024,8192,zmq-2,15.504,837837,51537,zmq,tcp
G,2,1024,8192,zmq-2,16.758,911565,51876,zmq,tcp
G,2,2048,8192,zmq-2,39.888,1676493,40083,zmq,tcp
G,2,2048,8192,zmq-2,30.956,1676493,51648,zmq,tcp
G,1,2048,8192,zmq-2,31.711,1676493,50418,zmq,tcp
G,2,2048,8192,zmq-2,32.451,1676493,49269,zmq,tcp
G,2,2048,8192,zmq-2,32.247,1676493,49581,zmq,tcp
G,2,2048,8192,zmq-2,30.930,1676493,51692,zmq,tcp
G,2,2048,8192,zmq-2,31.451,1676493,50836,zmq,tcp
G,1,2048,8192,zmq-2,31.129,1676493,51361,zmq,tcp
G,1,2048,8192,zmq-2,30.782,1676493,51940,zmq,tcp
G,1,2048,8192,zmq-2,37.226,1840333,47146,zmq,tcp
G,1,4096,8192,zmq-2,65.593,3353805,48762,zmq,tcp
G,2,4096,8192,zmq-2,61.748,3353805,51798,zmq,tcp
G,2,4096,8192,zmq-2,59.185,3353805,54041,zmq,tcp
G,2,4096,8192,zmq-2,60.605,3353805,52775,zmq,tcp
G,2,4096,8192,zmq-2,62.382,3353805,51272,zmq,tcp
G,2,4096,8192,zmq-2,60.809,3353805,52598,zmq,tcp
G,2,4096,8192,zmq-2,57.611,3353805,55518,zmq,tcp
G,2,4096,8192,zmq-2,58.030,3353805,55117,zmq,tcp
G,1,4096,8192,zmq-2,60.123,3353805,53198,zmq,tcp
G,2,4096,8192,zmq-2,67.064,3714253,52818,zmq,tcp
G,2,8192,8192,zmq-2,129.042,6708429,49578,zmq,tcp
G,2,8192,8192,zmq-2,111.783,6708429,57233,zmq,tcp
G,2,8192,8192,zmq-2,115.053,6708429,55606,zmq,tcp
G,1,8192,8192,zmq-2,115.726,6708429,55283,zmq,tcp
G,1,8192,8192,zmq-2,116.220,6708429,55048,zmq,tcp
G,1,8192,8192,zmq-2,113.758,6708429,56239,zmq,tcp
G,2,8192,8192,zmq-2,117.021,6708429,54671,zmq,tcp
G,1,8192,8192,zmq-2,110.669,6708429,57809,zmq,tcp
G,2,8192,8192,zmq-2,112.184,6708429,57028,zmq,tcp
G,1,8192,8192,zmq-2,131.669,7494861,54285,zmq,tcp
G,2,16384,8192,zmq-2,230.776,13417677,55448,zmq,tcp
G,2,16384,8192,zmq-2,213.971,13417677,59803,zmq,tcp
G,2,16384,8192,zmq-2,219.657,13417677,58255,zmq,tcp
G,1,16384,8192,zmq-2,217.647,13417677,58793,zmq,tcp
G,1,16384,8192,zmq-2,212.981,13417677,60081,zmq,tcp
G,1,16384,8192,zmq-2,215.071,13417677,59497,zmq,tcp
G,2,16384,8192,zmq-2,216.604,13417677,59076,zmq,tcp
G,2,16384,8192,zmq-2,212.747,13417677,60147,zmq,tcp
G,1,16384,8192,zmq-2,234.722,13417677,54516,zmq,tcp
G,2,16384,8192,zmq-2,264.758,15121613,54469,zmq,tcp
G,2,32768,8192,zmq-2,473.795,26836173,54017,zmq,tcp
G,2,32768,8192,zmq-2,448.080,26836173,57117,zmq,tcp
G,2,32768,8192,zmq-2,441.311,26836173,57993,zmq,tcp
G,2,32768,8192,zmq-2,405.877,26836173,63056,zmq,tcp
G,2,32768,8192,zmq-2,407.700,26836173,62774,zmq,tcp
G,2,32768,8192,zmq-2,405.119,26836173,63174,zmq,tcp
G,2,32768,8192,zmq-2,404.312,26836173,63300,zmq,tcp
G,2,32768,8192,zmq-2,409.527,26836173,62494,zmq,tcp
G,2,32768,8192,zmq-2,409.324,26836173,62525,zmq,tcp
G,2,32768,8192,zmq-2,446.013,30506189,65229,zmq,tcp
E,2,65536,8192,zmq-2,798.707,53673165,64087,zmq,tcp
E,2,65536,8192,zmq-2,741.568,53673165,69025,zmq,tcp
E,2,65536,8192,zmq-2,778.896,53673165,65717,zmq,tcp
E,2,65536,8192,zmq-2,808.841,53673165,63284,zmq,tcp
E,2,65536,8192,zmq-2,843.079,53673165,60714,zmq,tcp
E,2,65536,8192,zmq-2,842.968,53673165,60722,zmq,tcp
E,2,65536,8192,zmq-2,817.993,53673165,62576,zmq,tcp
E,2,65536,8192,zmq-2,797.960,53673165,64147,zmq,tcp
G,2,4,8192,zmq-4,0.059,10647,170929,zmq,tcp
